76,Used To This,67,14,17,Future Featuring Drake,2017-03-18
77,No Heart,85,43,19,21 Savage & Metro Boomin,2017-03-18
78,Make Love,120,78,1,Gucci Mane & Nicki Minaj,2017-03-18
79,Kill A Word,74,71,12,Eric Church Featuring Rhiannon Giddens,2017-03-18
80,How Far I'll Go,94,56,13,Alessia Cara,2017-03-18
81,The Weekend,81,69,9,Brantley Gilbert,2017-03-18
82,Heavy,52,52,2,Linkin Park Featuring Kiiara,2017-03-18
83,Redbone,120,48,13,Childish Gambino,2017-03-18
84,Road Less Traveled,87,69,6,Lauren Alaina,2017-03-18
85,In Case You Didn't Know,92,51,4,Brett Young,2017-03-18
86,Selfish,90,51,17,PnB Rock,2017-03-18
87,Star Of The Show,75,45,18,Thomas Rhett,2017-03-18
88,Love Me Now,69,23,19,John Legend,2017-03-18
89,Losin Control,120,77,1,Russ,2017-03-18
90,Chantaje,80,51,16,Shakira Featuring Maluma,2017-03-18
91,A Guy With A Girl,79,42,16,Blake Shelton,2017-03-18
92,God  Your Mama  And Me,120,92,1,Florida Georgia Line Featuring Backstreet Boys,2017-03-18
93,The Fighter,86,53,4,Keith Urban Featuring Carrie Underwood,2017-03-18
94,Slippery,89,48,5,Migos Featuring Gucci Mane,2017-03-18
95,Not Nice,88,82,7,PARTYNEXTDOOR,2017-03-18
96,Hometown Girl,120,72,1,Josh Turner,2017-03-18
97,Yeah Boy,100,88,3,Kelsea Ballerini,2017-03-18
98,Black,95,87,6,Dierks Bentley,2017-03-18
99,El Amante,98,98,4,Nicky Jam,2017-03-18
100,Green Light,120,19,1,Lorde,2017-03-18
1,Shape Of You,1,1,7,Ed Sheeran,2017-03-11
2,Bad And Boujee,3,1,15,Migos Featuring Lil Uzi Vert,2017-03-11
3,I Don't Wanna Live Forever (Fifty Shades Darker),2,2,11,Zayn / Taylor Swift,2017-03-11
4,That's What I Like,7,2,6,Bruno Mars,2017-03-11
5,Closer,5,1,30,The Chainsmokers Featuring Halsey,2017-03-11
6,Paris,11,6,6,The Chainsmokers,2017-03-11
7,Love On The Brain,8,5,19,Rihanna,2017-03-11
8,Chained To The Rhythm,4,4,2,Katy Perry Featuring Skip Marley,2017-03-11
9,Bounce Back,10,6,16,Big Sean,2017-03-11
10,Bad Things,6,4,17,Machine Gun Kelly x Camila Cabello,2017-03-11
11,I Feel It Coming,9,4,14,The Weeknd Featuring Daft Punk,2017-03-11
12,It Ain't Me,93,12,2,Kygo x Selena Gomez,2017-03-11
13,Fake Love,12,8,18,Drake,2017-03-11
14,Scars To Your Beautiful,15,8,26,Alessia Cara,2017-03-11
15,24K Magic,13,4,20,Bruno Mars,2017-03-11
16,Black Beatles,16,1,24,Rae Sremmurd Featuring Gucci Mane,2017-03-11
17,Starboy,14,1,23,The Weeknd Featuring Daft Punk,2017-03-11
18,Mercy,19,15,23,Shawn Mendes,2017-03-11
