41, Gucci Mane ,47,1,21, 2017-03-18
42, Brantley Gilbert ,44,1,46, 2017-03-18
43, James Arthur ,45,1,9, 2017-03-18
44, Lil Uzi Vert ,42,1,35, 2017-03-18
45, Jon Pardi ,50,1,20, 2017-03-18
46, Prince Royce ,120,1,10, 2017-03-18
47, Michael Jackson ,46,1,108, 2017-03-18
48, Jon Bellion ,41,1,21, 2017-03-18
49, Calvin Harris ,120,1,101, 2017-03-18
50, Julia Michaels ,59,1,4, 2017-03-18
51, Imagine Dragons ,56,2,108, 2017-03-18
52, Bebe Rexha ,35,1,35, 2017-03-18
53, Post Malone ,52,1,36, 2017-03-18
54, Thomas Rhett ,51,1,109, 2017-03-18
55, John Legend ,48,1,94, 2017-03-18
56, Jason Aldean ,57,1,131, 2017-03-18
57, Selena Gomez ,38,1,116, 2017-03-18
58, Alison Krauss ,19,1,2, 2017-03-18
59, Train ,53,1,11, 2017-03-18
60, Panic! At The Disco ,61,1,67, 2017-03-18
61, Blake Shelton ,77,1,140, 2017-03-18
62, Camila Cabello ,58,1,23, 2017-03-18
63, Niall Horan ,64,1,23, 2017-03-18
64, Travis Scott ,62,1,51, 2017-03-18
65, Brett Young ,68,1,13, 2017-03-18
66, Chris Brown ,71,1,134, 2017-03-18
67, Clean Bandit ,69,1,26, 2017-03-18
68, Eric Church ,78,1,133, 2017-03-18
69, DJ Snake ,67,1,94, 2017-03-18
70, Kendrick Lamar ,65,1,111, 2017-03-18
71, Halsey ,63,4,67, 2017-03-18
72, Chris Stapleton ,82,1,71, 2017-03-18
73, Prince ,85,1,34, 2017-03-18
74, DJ Khaled ,60,1,36, 2017-03-18
75, KYLE ,80,75,6, 2017-03-18
76, Zedd ,120,1,28, 2017-03-18
77, Meghan Trainor ,84,1,136, 2017-03-18
78, Daft Punk ,76,1,24, 2017-03-18
79, Carrie Underwood ,81,3,127, 2017-03-18
80, P!nk ,89,16,59, 2017-03-18
81, Reba McEntire ,70,1,9, 2017-03-18
82, Brett Eldredge ,120,1,57, 2017-03-18
83, Lana Del Rey ,40,1,45, 2017-03-18
84, Dierks Bentley ,87,1,73, 2017-03-18
85, Machine Gun Kelly ,75,1,15, 2017-03-18
86, Amine ,54,27,20, 2017-03-18
87, Lil Yachty ,88,1,28, 2017-03-18
88, Jason Derulo ,120,1,103, 2017-03-18
89, Auli'i Cravalho ,120,1,2, 2017-03-18
90, Kelsea Ballerini ,79,1,44, 2017-03-18
91, Charlie Wilson ,13,1,3, 2017-03-18
92, The Lumineers ,91,1,43, 2017-03-18
93, Michael Ray ,99,57,5, 2017-03-18
94, Shakira ,120,1,26, 2017-03-18
95, Remy Ma ,120,1,1, 2017-03-18
96, Charlie Puth ,97,1,98, 2017-03-18
97, Chris Young ,96,1,50, 2017-03-18
98, Kygo ,74,1,3, 2017-03-18
99, Lorde ,120,1,38, 2017-03-18
100, Nicky Jam ,95,1,7, 2017-03-18
1, Future ,38,1,84, 2017-03-11
2, Ed Sheeran ,2,1,133, 2017-03-11
3, Bruno Mars ,1,1,127, 2017-03-11
4, The Weeknd ,4,1,124, 2017-03-11
5, Drake ,6,1,139, 2017-03-11
6, Adele ,3,1,108, 2017-03-11
7, The Chainsmokers ,9,1,65, 2017-03-11
8, Shawn Mendes ,13,1,107, 2017-03-11
9, Rihanna ,12,2,135, 2017-03-11
10, Big Sean ,7,1,81, 2017-03-11
11, Migos ,8,1,20, 2017-03-11
12, twenty one pilots ,11,1,97, 2017-03-11
13, Charlie Wilson ,120,1,2, 2017-03-11
14, Lady Gaga ,5,1,39, 2017-03-11
15, Ryan Adams ,120,1,4, 2017-03-11
16, Maroon 5 ,18,1,139, 2017-03-11
17, Garth Brooks ,25,7,26, 2017-03-11
18, Ariana Grande ,17,1,137, 2017-03-11
19, Alison Krauss ,120,1,1, 2017-03-11
20, BTS ,21,1,20, 2017-03-11
21, Taylor Swift ,14,1,135, 2017-03-11
22, Beyonce ,10,2,137, 2017-03-11
23, Rae Sremmurd ,29,1,103, 2017-03-11
24, Sam Hunt ,26,1,132, 2017-03-11
25, Katy Perry ,15,6,133, 2017-03-11
26, Alessia Cara ,20,1,77, 2017-03-11
27, Metallica ,24,2,89, 2017-03-11
28, Justin Bieber ,19,1,138, 2017-03-11
29, Zayn ,16,1,44, 2017-03-11
30, J. Cole ,39,1,98, 2017-03-11
31, Sia ,23,1,139, 2017-03-11
32, Kodak Black ,82,1,8, 2017-03-11
33, Keith Urban ,22,1,100, 2017-03-11
34, Marian Hill ,42,1,6, 2017-03-11
35, Bebe Rexha ,65,1,34, 2017-03-11
36, Eminem ,34,1,139, 2017-03-11
37, Little Big Town ,41,1,58, 2017-03-11
38, Selena Gomez ,59,1,115, 2017-03-11
39, Justin Timberlake ,35,5,93, 2017-03-11
40, Lana Del Rey ,120,1,44, 2017-03-11
41, Jon Bellion ,47,1,20, 2017-03-11
42, Lil Uzi Vert ,36,1,34, 2017-03-11
43, Florida Georgia Line ,60,1,139, 2017-03-11
44, Brantley Gilbert ,37,1,45, 2017-03-11
45, James Arthur ,45,1,8, 2017-03-11
46, Michael Jackson ,46,1,107, 2017-03-11
47, Gucci Mane ,51,1,20, 2017-03-11
